,Point,EndPointFrequency,StartPointFrequency,Latitude,Longitude,PointCounts,TotPct,StartPct,EndPct
15,"(55.90163, -3.58548)",147,41,55.90163,-3.58548,188,0.08484481972732319,0.032039259814953744,0.15702947240233728
16,"(52.50626, -0.65619)",141,52,52.50626,-0.65619,193,0.0871013308902839,0.04063515878969742,0.15062010618183372
17,"(57.71499, 11.82177)",137,41,57.71499,11.82177,178,0.08033179740140174,0.032039259814953744,0.14634719536816468
18,"(52.53329, -0.30444)",131,107,52.53329,-0.30444,238,0.10740993135693042,0.08361465366341585,0.13993782914766112
19,"(53.50446, -2.84867)",127,325,53.50446,-2.84867,452,0.20398860913164937,0.2539697424356089,0.13566491833399205
20,"(51.82435, 5.75047)",126,83,51.82435,5.75047,209,0.09432216661175823,0.06485996499124781,0.13459669063057483
21,"(60.50335, 22.28299)",103,96,60.50335,22.28299,199,0.08980914428583679,0.07501875468867217,0.11002745345197783
22,"(60.22177, 25.17523)",102,5,60.22177,25.17523,107,0.04828933888735948,0.003907226806701676,0.10895922574856057
23,"(56.15759, 14.84127)",100,534,56.15759,14.84127,634,0.2861256154634197,0.4172918229557389,0.10682277034172603
24,"(51.11357, 3.76104)",99,337,51.11357,3.76104,436,0.19676777341017504,0.26334708677169294,0.10575454263830879
25,"(54.61644, -5.91752)",97,33,54.61644,-5.91752,130,0.058669290236978804,0.02578769692423106,0.10361808723147427
26,"(51.40998, 0.75638)",96,22,51.40998,0.75638,118,0.05325366344587307,0.017191797949487372,0.102549859528057
27,"(55.87887, -3.65361)",96,26,55.87887,-3.65361,122,0.05505887237624165,0.02031757939484871,0.102549859528057
28,"(55.91412, -3.50947)",94,25,55.91412,-3.50947,119,0.05370496567846521,0.019536134033508377,0.10041340412122249
29,"(53.72422, -1.45629)",94,299,53.72422,-1.45629,393,0.17736177740871284,0.23365216304076017,0.10041340412122249
30,"(51.9474, 1.25301)",91,725,51.9474,1.25301,816,0.36826262179519,0.5665478869717429,0.09720872101097071
31,"(57.75972, 11.88199)",91,1,57.75972,11.88199,92,0.04151980539847731,0.0007814453613403351,0.09720872101097071
32,"(57.70093, 11.81056)",90,29,57.70093,11.81056,119,0.05370496567846521,0.022661915478869716,0.09614049330755343
33,"(55.82962, -3.98043)",88,45,55.82962,-3.98043,133,0.06002319693475523,0.035165041260315076,0.09400403790071891
34,"(56.16925, 14.85779)",88,169,56.16925,14.85779,257,0.11598467377618117,0.13206426606651664,0.09400403790071891
35,"(53.52484, -1.32358)",87,18,53.52484,-1.32358,105,0.047386734422175184,0.01406601650412603,0.09293581019730165
36,"(51.13056, 1.28299)",86,117,51.13056,1.28299,203,0.09161435321620535,0.09142910727681922,0.0918675824938844
37,"(53.7217, -0.53441)",85,22,53.7217,-0.53441,107,0.04828933888735948,0.017191797949487372,0.09079935479046713
38,"(60.21946, 25.17432)",83,65,60.21946,25.17432,148,0.06679273042363741,0.050793948487121786,0.08866289938363262
39,"(52.74057450043318, 0.4192979097092086)",83,111,52.74057450043318,0.4192979097092086,194,0.08755263312287606,0.08674043510877719,0.08866289938363262
40,"(54.62654, -5.91496)",82,56,54.62654,-5.91496,138,0.062279708097715956,0.04376094023505876,0.08759467168021536
41,"(53.51131, -1.1254)",82,33,53.51131,-1.1254,115,0.05189975674809663,0.02578769692423106,0.08759467168021536
42,"(52.48737, 1.71638)",81,100,52.48737,1.71638,181,0.08168570409917818,0.07814453613403351,0.0865264439767981
43,"(51.87589, 4.43066)",80,120,51.87589,4.43066,200,0.09026044651842893,0.0937734433608402,0.08545821627338084
44,"(55.82587, -4.04367)",79,31,55.82587,-4.04367,110,0.049643245585135914,0.02422480620155039,0.08438998856996358
45,"(55.87784, -3.65235)",79,32,55.87784,-3.65235,111,0.050094547817728055,0.025006251562890724,0.08438998856996358
46,"(51.53743, -0.28555)",79,3,51.53743,-0.28555,82,0.037006783072555866,0.0023443360840210052,0.08438998856996358
47,"(55.83001, -3.93668)",78,23,55.83001,-3.93668,101,0.04558152549180661,0.017973243310827707,0.08332176086654632
48,"(53.52159, -6.40933)",76,26,53.52159,-6.40933,102,0.04603282772439875,0.02031757939484871,0.0811853054597118
49,"(53.41752, -6.35538)",76,42,53.41752,-6.35538,118,0.05325366344587307,0.032820705176294075,0.0811853054597118
50,"(52.82807, -0.60758)",74,61,52.82807,-0.60758,135,0.06092580139993953,0.04766816704176044,0.07904885005287728
51,"(57.75539, 11.89153)",73,15,57.75539,11.89153,88,0.03971459646810873,0.011721680420105025,0.07798062234946
52,"(60.16934, -1.16594)",73,62,60.16934,-1.16594,135,0.06092580139993953,0.04844961240310078,0.07798062234946
53,"(51.09682, 3.75623)",72,18,51.09682,3.75623,90,0.04061720093329302,0.01406601650412603,0.07691239464604276
54,"(57.1403, -2.09392)",71,517,57.1403,-2.09392,588,0.2653657127641811,0.40400725181295327,0.07584416694262548
55,"(53.57709, -2.22153)",71,36,53.57709,-2.22153,107,0.04828933888735948,0.02813203300825206,0.07584416694262548
56,"(54.09098, -1.40735)",70,59,54.09098,-1.40735,129,0.05821798800438666,0.04610527631907977,0.07477593923920824
57,"(57.70109, 11.83171)",70,154,57.70109,11.83171,224,0.1010917001006404,0.12034258564641159,0.07477593923920824
58,"(57.72323, 11.85834)",69,21,57.72323,11.85834,90,0.04061720093329302,0.016410352588147038,0.07370771153579096
59,"(53.77629, -1.52585)",69,264,53.77629,-1.52585,333,0.15028364345318418,0.20630157539384847,0.07370771153579096
60,"(53.71245, -1.5198)",69,49,53.71245,-1.5198,118,0.05325366344587307,0.038290822705676415,0.07370771153579096
61,"(53.32252, -6.45765)",68,41,53.32252,-6.45765,109,0.04919194335254376,0.032039259814953744,0.07263948383237372
62,"(60.21399, 25.17833)",67,81,60.21399,25.17833,148,0.06679273042363741,0.06329707426856714,0.07157125612895644
63,"(51.89691, -8.47302)",67,10,51.89691,-8.47302,77,0.034750271909595135,0.007814453613403351,0.07157125612895644
64,"(57.70115, 11.8149)",67,165,57.70115,11.8149,232,0.10470211796137757,0.12893848462115529,0.07157125612895644
65,"(51.67544, -0.01969)",67,21,51.67544,-0.01969,88,0.03971459646810873,0.016410352588147038,0.07157125612895644
66,"(60.30997, 24.85308)",67,3,60.30997,24.85308,70,0.03159115628145013,0.0023443360840210052,0.07157125612895644
